,Year,County,State,Zip code,latitude,longitude,Plant Hardiness Zone,Corn Acres Harvested,Sales ($),CV,State ANSI,Ag District,Ag District Code,Concatenated
162,2012,CLARK,MISSOURI,63430,40.39,-91.54,5b,46706.0,23897000,3.1,29,NORTHEAST,30,CLARKMISSOURI2012
163,2012,KNOX,MISSOURI,63446,40.14,-92.01,5b,47965.0,10983000,3.1,29,NORTHEAST,30,KNOXMISSOURI2012
164,2012,LEWIS,MISSOURI,63435,40.12,-91.52,6a,73249.0,21034000,3.1,29,NORTHEAST,30,LEWISMISSOURI2012
165,2012,MARION,MISSOURI,63401,39.7,-91.38,6a,63416.0,26232000,3.1,29,NORTHEAST,30,MARIONMISSOURI2012
166,2012,MONROE,MISSOURI,63456,39.65,-91.73,6a,71040.0,15051000,3.1,29,NORTHEAST,30,MONROEMISSOURI2012
167,2012,PIKE,MISSOURI,63330,39.26,-90.82,6a,77355.0,20944000,3.1,29,NORTHEAST,30,PIKEMISSOURI2012
168,2012,RALLS,MISSOURI,63436,39.5,-91.52,6a,68974.0,14035000,3.1,29,NORTHEAST,30,RALLSMISSOURI2012
169,2012,SCOTLAND,MISSOURI,63432,40.46,-92.01,5b,37531.0,13651000,3.1,29,NORTHEAST,30,SCOTLANDMISSOURI2012
170,2012,SHELBY,MISSOURI,63434,39.87,-92.02,5b,55881.0,13088000,3.1,29,NORTHEAST,30,SHELBYMISSOURI2012
171,2012,ANDREW,MISSOURI,64421,39.91,-94.94,5b,48492.0,23345000,3.1,29,NORTHWEST,10,ANDREWMISSOURI2012
172,2012,ATCHISON,MISSOURI,64446,40.33,-95.39,5b,112004.0,89488000,3.1,29,NORTHWEST,10,ATCHISONMISSOURI2012
173,2012,BUCHANAN,MISSOURI,64401,39.65,-94.74,6a,48887.0,31931000,3.1,29,NORTHWEST,10,BUCHANANMISSOURI2012
174,2012,CALDWELL,MISSOURI,64624,39.59,-93.79,5b,18326.0,4403000,3.1,29,NORTHWEST,10,CALDWELLMISSOURI2012
175,2012,CLAY,MISSOURI,64024,39.35,-94.23,6a,11857.0,7049000,3.1,29,NORTHWEST,10,CLAYMISSOURI2012
176,2012,CLINTON,MISSOURI,64429,39.74,-94.23,5b,40013.0,17389000,3.1,29,NORTHWEST,10,CLINTONMISSOURI2012
177,2012,DAVIESS,MISSOURI,64620,39.88,-94.08,5b,39467.0,11310000,3.1,29,NORTHWEST,10,DAVIESSMISSOURI2012
178,2012,DE KALB,MISSOURI,64422,39.89,-94.49,5b,38428.0,13333000,3.1,29,NORTHWEST,10,DEKALBMISSOURI2012
